product_name	cross_lob_exec	dev_analyst	ent_cloud_arch	finance	it_exec	it_in_lob	it_ops	marketing
JD Edwards	-0.375247079486	1.00735458407	-2.60894881756	1.93884013426	0.938309336425	-0.299466673899	-0.259575949789	-0.341265534021
VMware (Unspecified Product)	-0.0540954873607	-0.516937857542	0.889550218137	-1.14819452455	1.02662653529	-0.321164742335	0.200175098062	-0.0759592397068
PeopleSoft	-0.180446310617	0.500036595556	-0.554515581958	1.08029608554	0.200314881027	-0.0749785988936	0.356593902641	-1.3273009733
Salesforce.com CRM	0.0491942437221	0.410670246269	0.309345408296	-0.323389168528	0.0356422016898	-0.309734615027	-1.27508023577	1.10335191935
Hyland Software OnBase	0.112277334202	1.9459436757	1.30586675879	-0.183900745379	-0.699723297865	-0.449495697121	-0.598034292087	-1.43293373624
Microsoft SharePoint	-0.0848917684497	-0.00453565387318	0.796123372168	-0.585405014606	0.613455444067	-0.664670859885	-0.0420701164699	-0.0280054029514
Microsoft Dynamics	-0.257053142496	0.269361851752	-0.171633743764	0.517716428371	0.100721195319	0.166209820254	-0.698023938957	0.0727015295199
Avaya (Unspecified Product)	0.36394525393	0.0529856074991	0.90640329657	-0.731179300748	1.07790465899	0.36068765233	-2.7244801713	0.69373300273
Shoretel	-0.879168601018	-0.799922356408	-0.0621999533996	-0.720962005393	2.58063023632	-1.17037341727	-0.722845133564	1.77484123073
Microsoft Exchange 2010	1.48295964269	-1.4428841279	2.09416071823	-0.935745412345	2.47203684848	-1.87327244924	-0.850384299925	-0.946870919992
Microsoft Exchange 2007	0.694901021569	-0.738539784012	1.71174288037	-0.398143005036	2.09955343308	-1.48028798634	-0.926767508578	-0.962459051049
Microsoft Exchange 2003	0.513633362694	-1.05646462272	2.14749308694	-1.0240653513	2.81415743092	-0.824688978982	-1.19188386342	-1.37818106415
Microsoft Office 365	-0.486200400435	-0.59297511009	1.45962026901	-0.987036097182	2.65967715746	-0.808575023441	-0.524079689888	-0.720431105432
Infor Baan	-0.451275770191	-0.594374275374	-0.566793764332	-0.35265805335	2.32735950456	-1.01112728176	1.10215840336	-0.453288762912
Marketo	0.41748819507	-0.426242957691	1.0081337811	-1.34776429218	1.36975984565	-0.250375989383	-0.693957970317	-0.0770406122469
Eloqua	0.669561224958	1.05552291451	-1.46223307949	1.56551801715	0.657410266584	-2.97360986152	-0.0213351262724	0.509165644079
Actuate	-1.16275097751	2.17009252505	-0.820822379953	-1.24251876193	-0.849352763353	-1.60622837587	-0.512524811941	4.02410554551
Akamai	-1.02036500452	1.39736170645	-0.540596645598	-1.15151298602	-0.558502915132	-1.33916140684	-0.311776881252	3.52455413292
