straight,[112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34]
second,[116, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 124, 32, 113, 34, 112, 32, 112, 32, 116, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 116, 32, 112, 32, 116, 32, 120, 30, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 116, 32, 112, 32, 112, 32, 116, 32, 112, 32]
sustaining,[113, 34, 113, 34, 112, 32, 113, 34, 113, 34, 112, 32, 112, 32, 112, 32, 113, 34, 120, 127, 112, 32, 112, 32, 113, 34, 113, 34, 113, 34, 112, 32, 113, 34, 112, 32, 113, 34, 112, 32, 120, 127, 112, 32, 113, 34, 113, 34, 113, 34, 113, 34, 112, 32, 113, 34, 113, 34, 113, 34, 113, 34]
sterile,[112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32]
errors,[112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32]
cooking,[112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32]
bonuses,[112, 32, 112, 32, 112, 32, 112, 32, 124, 115, 124, 115, 124, 115, 112, 32, 112, 32, 112, 32, 112, 32, 116, 32, 124, 115, 124, 32, 112, 32, 112, 32, 112, 32, 112, 32, 124, 115, 116, 32, 112, 32, 124, 115, 112, 32, 112, 32, 112, 32, 124, 115, 116, 32, 112, 32, 112, 32, 112, 32, 112, 32]
designing,[112, 32, 113, 34, 113, 34, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 113, 34, 112, 33, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34]
ggastro,[113, 34, 113, 34, 112, 32, 112, 32, 112, 32, 112, 33, 113, 34, 113, 34, 113, 34, 113, 34, 113, 34, 113, 34, 112, 32, 112, 32, 113, 34, 113, 34, 112, 33, 113, 34, 112, 33, 113, 34, 113, 34, 113, 34, 113, 34, 112, 33, 113, 34, 113, 34, 112, 33, 112, 33, 112, 33, 113, 34, 113, 34]
increasing,[112, 33, 112, 33, 112, 33, 113, 34, 126, 31, 116, 32, 112, 33, 115, 35, 124, 32, 116, 32, 124, 32, 112, 33, 124, 32, 112, 32, 116, 32, 124, 32, 116, 32, 112, 32, 112, 32, 112, 32, 124, 32, 112, 32, 112, 32, 113, 34, 112, 32, 124, 32, 124, 32, 112, 32, 124, 32, 112, 32, 112, 32]
specialist,[113, 34, 112, 33, 113, 34, 113, 34, 113, 34, 116, 32, 116, 32, 113, 34, 116, 32, 113, 34, 126, 126, 113, 34, 113, 34, 112, 32, 112, 33, 116, 32, 112, 32, 113, 34, 116, 32, 113, 34, 126, 126, 113, 34, 116, 32, 113, 34, 113, 35, 113, 34, 113, 34, 116, 32, 113, 34, 112, 32, 113, 34]
00013104,[116, 32, 112, 32, 116, 32, 116, 32, 112, 32, 116, 32, 113, 34, 116, 32, 120, 30, 116, 32, 120, 30, 116, 32, 112, 32, 116, 32, 116, 32, 116, 32, 112, 32, 112, 32, 116, 32, 112, 32, 120, 30, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 120, 30, 116, 32, 116, 32, 116, 32, 112, 32]
allenzers,[124, 115, 124, 115, 124, 115, 124, 115, 124, 115, 124, 115, 124, 115, 124, 115, 126, 120, 124, 115, 126, 120, 126, 120, 126, 120, 112, 32, 124, 115, 124, 115, 126, 120, 112, 32, 124, 115, 126, 120, 112, 32, 126, 120, 124, 115, 112, 32, 112, 32, 124, 115, 112, 32, 112, 32, 124, 115, 126, 120, 126, 120]
mailings,[112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 113, 34, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 113, 34, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 113, 34, 112, 33]
splinter,[112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32]
here,[120, 30, 124, 32, 120, 30, 120, 30, 120, 30, 124, 32, 120, 30, 124, 32, 120, 30, 120, 30, 124, 32, 120, 30, 124, 32, 124, 32, 124, 32, 116, 32, 116, 32, 120, 30, 124, 32, 124, 32, 124, 32, 116, 32, 124, 115, 116, 32, 124, 32, 124, 32, 120, 30, 124, 32, 124, 32, 116, 32, 124, 32]
reported,[112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32]
china,[112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 113, 34, 112, 32]
affiliated,[112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32]
substance,[113, 34, 113, 34, 113, 34, 113, 34, 113, 34, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 113, 34, 113, 34, 113, 34, 113, 34, 113, 34, 113, 34, 113, 34, 113, 34, 113, 34, 112, 32, 112, 32, 113, 34, 113, 34, 112, 32, 113, 34, 112, 32, 113, 34, 112, 32, 112, 32, 113, 34, 113, 34]
k,[124, 32, 124, 32, 124, 32, 112, 32, 124, 32, 112, 32, 112, 32, 112, 32, 125, 28, 124, 32, 124, 115, 112, 32, 112, 32, 124, 32, 124, 32, 112, 32, 120, 30, 124, 115, 120, 30, 112, 32, 112, 32, 124, 32, 112, 32, 124, 32, 124, 32, 124, 115, 124, 32, 124, 32, 112, 32, 112, 32, 112, 32]
reports,[112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 113, 34, 112, 33, 112, 33, 112, 33, 113, 34, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 33, 112, 32, 112, 33]
military,[124, 32, 116, 32, 116, 32, 124, 32, 124, 115, 116, 32, 124, 32, 124, 32, 124, 32, 116, 32, 124, 32, 124, 32, 116, 32, 124, 32, 124, 115, 124, 32, 124, 32, 116, 32, 116, 32, 116, 32, 116, 32, 124, 115, 124, 32, 124, 32, 116, 32, 124, 32, 116, 32, 124, 32, 116, 32, 116, 32, 116, 32]
cancellation,[112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34]
golden,[116, 32, 116, 32, 116, 32, 116, 32, 124, 32, 116, 32, 116, 32, 116, 32, 116, 32, 116, 32, 116, 32, 124, 115, 116, 32, 116, 32, 116, 32, 116, 32, 116, 32, 116, 32, 116, 32, 124, 115, 124, 32, 116, 32, 125, 28, 124, 32, 116, 32, 116, 32, 120, 30, 116, 32, 116, 32, 116, 32, 116, 32]
unix,[112, 32, 113, 34, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 113, 34, 112, 32, 113, 34, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 113, 34]
