product_id	date	duns_product_hits
19	200509	249
19	200508	297
19	201205	1474
19	200505	247
19	200504	240
19	200507	256
19	200506	265
19	200501	1169
19	200503	242
19	200502	182
19	201601	3534
19	201603	5431
19	201602	3655
19	201605	3313
19	201604	2525
19	201607	3459
19	201606	4724
19	201609	3013
19	201608	3820
19	201204	1471
19	200211	132
19	200210	154
19	201207	1449
19	201206	1497
19	201201	2175
19	201203	1426
19	201202	1376
19	201111	1309
19	201110	1235
19	201112	1286
19	200001	837
19	200002	108
19	200003	120
19	200004	112
19	200005	112
19	200006	130
19	200007	126
19	200008	128
19	200009	125
19	200808	1086
19	200809	1017
19	200801	1910
19	200802	982
19	200803	1045
19	200804	1095
19	200805	923
19	200806	997
19	200807	1075
19	200206	168
19	200404	186
19	200405	231
19	200406	176
19	200407	155
19	200401	1078
19	200402	151
19	200403	207
19	200408	220
19	200012	214
19	200011	108
19	200010	106
19	200209	163
19	201510	2885
19	200812	894
19	200811	793
19	200810	902
19	201008	1166
19	201701	4102
19	201702	2081
19	201703	1997
19	201704	1102
19	200308	170
19	200412	333
19	200411	157
19	200410	171
19	200105	135
19	200710	1116
19	200711	927
19	200712	1045
19	200107	143
19	200106	146
19	201612	2893
19	201410	2189
19	201309	1809
19	201412	1931
19	201304	1717
19	201305	1699
19	201306	1683
19	201307	1659
19	201301	2338
19	201302	1580
19	201303	1673
19	201611	2482
19	200905	720
19	201311	1677
19	200904	751
19	201408	2366
19	200906	770
19	200903	801
19	200709	982
19	200708	1120
19	200707	1022
19	200706	1033
19	200705	1132
19	200704	983
19	200703	1037
19	200702	920
19	200701	2064
19	201403	1748
19	201402	1608
19	201401	2467
19	201407	2215
19	201406	2000
19	201405	1920
19	201404	1787
19	201312	1718
19	201409	2011
19	201310	1722
19	200212	247
19	201010	1218
19	201011	1053
19	201012	1167
19	200310	148
19	200311	157
19	200312	316
19	200912	921
19	200409	212
19	200102	121
19	201308	1777
19	201411	2170
19	201007	1140
19	201006	1125
19	201005	1055
19	201004	1034
19	201003	1090
19	201002	836
19	201001	1734
19	201209	1458
19	200910	750
19	201009	1101
19	201208	1559
19	200309	181
19	200911	718
19	200303	194
19	200302	160
19	200301	986
19	200307	153
19	200306	178
19	200305	164
19	200304	153
19	200112	214
19	200110	108
19	200111	94
19	200606	980
19	200607	882
19	200604	915
19	200605	934
19	200602	777
19	200603	934
19	200601	1714
19	200608	971
19	200609	877
19	200204	138
19	201508	3832
19	201509	4368
19	201502	2111
19	201503	2380
19	201501	3017
19	201506	2628
19	201507	2446
19	201504	3080
19	201505	2267
19	200109	135
19	200108	146
19	201210	1601
19	200205	139
19	200101	909
19	200103	163
19	201211	1446
19	200512	726
19	200104	160
19	200510	216
19	200511	567
19	200901	1731
19	201106	1328
19	201610	3749
19	200902	721
19	200611	857
19	200610	849
19	200907	708
19	200612	1018
19	200909	742
19	200908	758
19	201104	1238
19	201105	1243
19	200202	142
19	200203	152
19	200201	872
19	201212	1507
19	200207	155
19	201108	1359
19	201109	1317
19	201511	3682
19	201107	1192
19	200208	171
19	201512	3742
19	201102	1080
19	201103	1244
19	201101	1975
20	200211	31
20	200509	142
20	200508	177
20	200505	104
20	200504	106
20	200507	129
20	200506	129
20	200501	665
20	200503	81
20	200502	77
20	201601	17173
20	201603	30222
20	201602	19454
20	201605	16867
20	201604	10276
20	201607	17975
20	201606	26865
20	201609	14655
20	201608	18500
20	201205	4830
20	201204	4679
20	201207	4816
20	201206	4908
20	201201	7801
20	201203	4668
20	201202	4346
20	201111	4340
20	201208	5053
20	201112	4334
20	200001	199
20	200002	19
20	200003	18
20	200004	12
20	200005	18
20	200006	26
20	201006	2974
20	200008	11
20	200009	23
20	200808	1552
20	200809	1469
20	200612	620
20	200801	2898
20	200802	1109
20	200803	1174
20	200804	1355
20	200805	1287
20	200806	1416
20	200807	1461
20	200206	21
20	200404	67
20	200405	54
20	200406	74
20	200407	64
20	200401	399
20	200402	42
20	200403	54
20	200408	77
20	200012	29
20	200011	25
20	200010	23
20	200209	23
20	200812	1538
20	200811	1231
20	200810	1480
20	201008	2907
20	200210	23
20	201701	23098
20	201702	6818
20	201703	6487
20	201704	3584
20	200308	53
20	200412	94
20	200411	75
20	200410	78
20	200105	17
20	200710	1066
20	200711	965
20	200712	1058
20	200107	22
20	200106	23
20	200901	3339
20	201410	9313
20	201309	6157
20	201412	8006
20	201304	5712
20	201305	5628
20	201306	5891
20	201307	5826
20	201301	8658
20	201302	5117
20	201303	5649
20	200902	1262
20	200905	1325
20	201311	5604
20	200610	587
20	201310	6127
20	200906	1483
20	200903	1396
20	200709	951
20	200708	976
20	200707	809
20	200706	833
20	200705	774
20	200704	801
20	200703	760
20	200702	625
20	200701	1961
20	201403	6181
20	201402	5287
20	201401	9049
20	201407	7915
20	201406	6946
20	201405	6839
20	201404	6856
20	201312	6330
20	201409	8239
20	201408	8813
20	200212	65
20	201010	3162
20	201011	2922
20	201012	3319
20	200310	38
20	200311	37
20	200312	65
20	200409	82
20	200102	21
20	201308	6037
20	201411	8164
20	201007	2738
20	200912	2024
20	201005	2490
20	201004	2487
20	201003	2473
20	201002	1899
20	201001	4684
20	201209	4945
20	200910	1607
20	201009	2977
20	201110	4089
20	200309	52
20	200605	416
20	200303	35
20	200302	16
20	200301	276
20	200307	41
20	200306	45
20	200305	37
20	200304	24
20	200112	41
20	200110	28
20	200111	31
20	200606	411
20	200607	422
20	200604	383
